genbank_accession	gisaid_epi_isl
MW474157.1	EPI_ISL_806912
MW474159.1	EPI_ISL_806914
MW474160.1	EPI_ISL_806916
MW474161.1	EPI_ISL_806917
MW474163.1	EPI_ISL_806919
MW474164.1	EPI_ISL_806920
MW474165.1	EPI_ISL_806921
MW474166.1	EPI_ISL_806922
MW474167.1	EPI_ISL_806923
MW474168.1	EPI_ISL_806924
MW474169.1	EPI_ISL_806928
MW474170.1	EPI_ISL_806929
MW474171.1	EPI_ISL_806930
MW474172.1	EPI_ISL_806931
MW474173.1	EPI_ISL_806932
MW474174.1	EPI_ISL_806933
MW474175.1	EPI_ISL_806934
MW474176.1	EPI_ISL_806935
MW474177.1	EPI_ISL_806936
MW474178.1	EPI_ISL_806937
MW474179.1	EPI_ISL_806938
MW474180.1	EPI_ISL_806939
MW474181.1	EPI_ISL_806940
MW474182.1	EPI_ISL_806941
MW474184.1	EPI_ISL_806943
MW474185.1	EPI_ISL_806944
MW474186.1	EPI_ISL_806945
MW474187.1	EPI_ISL_806946
MW474188.1	EPI_ISL_806947
MW474189.1	EPI_ISL_806948
MW474190.1	EPI_ISL_806949
MW474191.1	EPI_ISL_806950
MW474193.1	EPI_ISL_806953
MW474194.1	EPI_ISL_806955
MW474195.1	EPI_ISL_806956
MW474196.1	EPI_ISL_806957
MW474197.1	EPI_ISL_806958
MW474198.1	EPI_ISL_806959
MW474199.1	EPI_ISL_806960
MW474200.1	EPI_ISL_806961
MW474201.1	EPI_ISL_806962
MW474202.1	EPI_ISL_806963
MW474203.1	EPI_ISL_806964
MW474204.1	EPI_ISL_806965
MW474205.1	EPI_ISL_806966
MW474206.1	EPI_ISL_806967
MW474207.1	EPI_ISL_806968
MW474208.1	EPI_ISL_806969
MW474209.1	EPI_ISL_806970
MW474210.1	EPI_ISL_806971
MW474211.1	EPI_ISL_806972
MW474212.1	EPI_ISL_806973
MW474213.1	EPI_ISL_806974
MW474214.1	EPI_ISL_806975
MW474215.1	EPI_ISL_806976
MW474216.1	EPI_ISL_806977
MW474217.1	EPI_ISL_806978
MW474218.1	EPI_ISL_806979
MW474220.1	EPI_ISL_806981
MW474222.1	EPI_ISL_806983
MW474223.1	EPI_ISL_806984
MW474224.1	EPI_ISL_806985
MW474226.1	EPI_ISL_806987
MW474227.1	EPI_ISL_806988
MW474228.1	EPI_ISL_806989
MW474229.1	EPI_ISL_806990
MW474230.1	EPI_ISL_806991
MW474231.1	EPI_ISL_806992
MW474232.1	EPI_ISL_806993
MW474233.1	EPI_ISL_806994
MW474234.1	EPI_ISL_806995
MW474236.1	EPI_ISL_806997
MW474238.1	EPI_ISL_807000
MW474239.1	EPI_ISL_807001
MW474240.1	EPI_ISL_807002
MW474241.1	EPI_ISL_807003
MW474242.1	EPI_ISL_807004
MW474243.1	EPI_ISL_807005
MW474244.1	EPI_ISL_807006
MW474245.1	EPI_ISL_807007
MW474247.1	EPI_ISL_807010
MW474248.1	EPI_ISL_807011
MW474249.1	EPI_ISL_807012
MW474250.1	EPI_ISL_807013
MW474251.1	EPI_ISL_807014
MW474252.1	EPI_ISL_807015
MW474253.1	EPI_ISL_807016
MW474254.1	EPI_ISL_807017
MW474255.1	EPI_ISL_807018
MW474256.1	EPI_ISL_807019
MW474257.1	EPI_ISL_807020
MW474258.1	EPI_ISL_807021
MW474259.1	EPI_ISL_807022
MW474261.1	EPI_ISL_807024
MW474262.1	EPI_ISL_807025
MW474263.1	EPI_ISL_807026
MW474264.1	EPI_ISL_807028
MW474265.1	EPI_ISL_807030
MW474266.1	EPI_ISL_807031
MW474267.1	EPI_ISL_807032
MW474269.1	EPI_ISL_807034
MW474270.1	EPI_ISL_807035
MW474272.1	EPI_ISL_807037
MW474273.1	EPI_ISL_807038
MW474274.1	EPI_ISL_807039
MW474275.1	EPI_ISL_807040
MW474276.1	EPI_ISL_807041
MW474277.1	EPI_ISL_807042
MW474280.1	EPI_ISL_807045
MW474282.1	EPI_ISL_807047
MW474283.1	EPI_ISL_807048
MW474285.1	EPI_ISL_807050
MW474286.1	EPI_ISL_807051
MW474288.1	EPI_ISL_807054
MW474289.1	EPI_ISL_807055
MW474290.1	EPI_ISL_807056
MW474291.1	EPI_ISL_807057
MW474292.1	EPI_ISL_807058
MW474293.1	EPI_ISL_807059
MW474295.1	EPI_ISL_807061
MW474296.1	EPI_ISL_807062
MW474297.1	EPI_ISL_807063
MW474298.1	EPI_ISL_807064
MW474299.1	EPI_ISL_807065
MW474300.1	EPI_ISL_807067
MW474301.1	EPI_ISL_807068
MW474302.1	EPI_ISL_807069
MW474304.1	EPI_ISL_807071
MW474305.1	EPI_ISL_807072
MW474306.1	EPI_ISL_807073
MW474307.1	EPI_ISL_807074
MW474308.1	EPI_ISL_807075
MW474309.1	EPI_ISL_807076
MW474310.1	EPI_ISL_807077
MW474311.1	EPI_ISL_807078
MW474312.1	EPI_ISL_807079
MW474313.1	EPI_ISL_807080
MW474314.1	EPI_ISL_807081
MW474315.1	EPI_ISL_807082
MW474316.1	EPI_ISL_807083
MW474317.1	EPI_ISL_807084
MW474320.1	EPI_ISL_807087
MW474322.1	EPI_ISL_807089
MW474323.1	EPI_ISL_807091
MW474324.1	EPI_ISL_807092
MW474325.1	EPI_ISL_807093
MW474326.1	EPI_ISL_807094
MW474327.1	EPI_ISL_807095
MW474328.1	EPI_ISL_807096
MW474331.1	EPI_ISL_807099
MW474332.1	EPI_ISL_807100
MW474333.1	EPI_ISL_807101
MW474334.1	EPI_ISL_807102
MW474335.1	EPI_ISL_807103
MW474336.1	EPI_ISL_807106
MW474337.1	EPI_ISL_807108
MW474338.1	EPI_ISL_807109
MW474342.1	EPI_ISL_807113
MW474344.1	EPI_ISL_807115
MW474346.1	EPI_ISL_807117
MW474347.1	EPI_ISL_807118
MW474349.1	EPI_ISL_807120
MW474350.1	EPI_ISL_807121
MW474351.1	EPI_ISL_807122
MW474352.1	EPI_ISL_807123
MW474353.1	EPI_ISL_807124
MW474354.1	EPI_ISL_807125
MW474355.1	EPI_ISL_807126
MW474357.1	EPI_ISL_807128
MW474359.1	EPI_ISL_807130
MW474360.1	EPI_ISL_807131
MW474361.1	EPI_ISL_807132
MW474363.1	EPI_ISL_807134
MW474364.1	EPI_ISL_807135
MW474365.1	EPI_ISL_807136
MW474368.1	EPI_ISL_807141
MW474369.1	EPI_ISL_807142
MW474370.1	EPI_ISL_807143
MW474371.1	EPI_ISL_807144
MW474739.1	EPI_ISL_812966
MW474741.1	EPI_ISL_812967
MW474742.1	EPI_ISL_812346
MW476532.1	EPI_ISL_802874
MW476534.1	EPI_ISL_802885
MW476535.1	EPI_ISL_825017
MW476536.1	EPI_ISL_802912
MW476537.1	EPI_ISL_802887
MW476540.1	EPI_ISL_802900
MW476541.1	EPI_ISL_802880
MW476542.1	EPI_ISL_802914
MW476544.1	EPI_ISL_802895
MW476545.1	EPI_ISL_825018
MW476546.1	EPI_ISL_825019
MW476547.1	EPI_ISL_825020
MW476548.1	EPI_ISL_802919
MW476549.1	EPI_ISL_802883
MW476550.1	EPI_ISL_802908
MW476551.1	EPI_ISL_825021
MW476552.1	EPI_ISL_802888
MW476553.1	EPI_ISL_802896
MW476554.1	EPI_ISL_802890
MW476556.1	EPI_ISL_802882
MW476557.1	EPI_ISL_825022
MW476559.1	EPI_ISL_802891
MW476560.1	EPI_ISL_825023
MW476562.1	EPI_ISL_802918
MW476563.1	EPI_ISL_825024
MW476564.1	EPI_ISL_825025
MW476566.1	EPI_ISL_802892
MW476591.1	EPI_ISL_802945
MW476592.1	EPI_ISL_802939
MW476593.1	EPI_ISL_802947
MW476594.1	EPI_ISL_802923
MW476595.1	EPI_ISL_802943
MW476598.1	EPI_ISL_802948
MW476604.1	EPI_ISL_802983
MW476608.1	EPI_ISL_802958
MW476611.1	EPI_ISL_802929
MW476619.1	EPI_ISL_802938
MW476623.1	EPI_ISL_802951
MW476624.1	EPI_ISL_802956
MW476625.1	EPI_ISL_802926
MW476626.1	EPI_ISL_802937
MW476628.1	EPI_ISL_802941
MW476629.1	EPI_ISL_802963
MW476631.1	EPI_ISL_802981
MW476632.1	EPI_ISL_802942
MW476633.1	EPI_ISL_802950
MW476634.1	EPI_ISL_802974
MW476635.1	EPI_ISL_802955
MW476640.1	EPI_ISL_825026
MW476642.1	EPI_ISL_802984
MW476643.1	EPI_ISL_802988
MW476645.1	EPI_ISL_802971
MW476646.1	EPI_ISL_825027
MW476649.1	EPI_ISL_802928
MW476650.1	EPI_ISL_802952
MW476655.1	EPI_ISL_802989
MW476657.1	EPI_ISL_802986
MW476693.1	EPI_ISL_825028
MW476695.1	EPI_ISL_825029
MW476696.1	EPI_ISL_825030
MW476697.1	EPI_ISL_825031
MW476698.1	EPI_ISL_825032
MW477798.1	EPI_ISL_825033
MW480858.1	EPI_ISL_826284
MW482861.1	EPI_ISL_812232
MW482862.1	EPI_ISL_812195
MW482863.1	EPI_ISL_812196
MW482864.1	EPI_ISL_812202
MW482865.1	EPI_ISL_812203
MW482866.1	EPI_ISL_812156
MW482867.1	EPI_ISL_812157
MW482868.1	EPI_ISL_812158
MW482869.1	EPI_ISL_812159
MW482870.1	EPI_ISL_812160
MW482871.1	EPI_ISL_812161
MW482872.1	EPI_ISL_812162
MW482873.1	EPI_ISL_812163
MW482874.1	EPI_ISL_812131
MW482875.1	EPI_ISL_812164
MW482876.1	EPI_ISL_812165
MW482877.1	EPI_ISL_812166
MW482878.1	EPI_ISL_812167
MW482879.1	EPI_ISL_812168
MW482880.1	EPI_ISL_812169
MW482881.1	EPI_ISL_812170
MW482882.1	EPI_ISL_812171
MW482883.1	EPI_ISL_812172
MW482884.1	EPI_ISL_812173
MW482885.1	EPI_ISL_812174
MW482886.1	EPI_ISL_812175
MW482887.1	EPI_ISL_812198
MW482888.1	EPI_ISL_812199
MW482889.1	EPI_ISL_812200
MW482890.1	EPI_ISL_812142
MW482891.1	EPI_ISL_812138
MW482892.1	EPI_ISL_812201
MW482893.1	EPI_ISL_812143
MW482894.1	EPI_ISL_812144
MW482895.1	EPI_ISL_812145
MW482896.1	EPI_ISL_812146
MW482897.1	EPI_ISL_812147
MW482898.1	EPI_ISL_812148
MW482899.1	EPI_ISL_812140
MW482900.1	EPI_ISL_812136
MW482901.1	EPI_ISL_812176
MW482902.1	EPI_ISL_812177
MW482903.1	EPI_ISL_812178
MW482904.1	EPI_ISL_812179
MW482905.1	EPI_ISL_812180
MW482906.1	EPI_ISL_812137
MW482908.1	EPI_ISL_812181
MW482909.1	EPI_ISL_812182
MW482910.1	EPI_ISL_812183
MW482911.1	EPI_ISL_812184
MW482912.1	EPI_ISL_812185
MW482913.1	EPI_ISL_812186
MW482914.1	EPI_ISL_812187
MW482915.1	EPI_ISL_812188
MW482916.1	EPI_ISL_812189
MW482917.1	EPI_ISL_812190
MW482918.1	EPI_ISL_812191
MW482919.1	EPI_ISL_812192
MW482920.1	EPI_ISL_812193
MW482921.1	EPI_ISL_812194
MW482922.1	EPI_ISL_812141
MW482923.1	EPI_ISL_812149
MW482924.1	EPI_ISL_812150
MW482926.1	EPI_ISL_812197
MW482928.1	EPI_ISL_812151
MW482929.1	EPI_ISL_812152
MW482930.1	EPI_ISL_812153
MW482931.1	EPI_ISL_812154
MW482932.1	EPI_ISL_812155
MW482933.1	EPI_ISL_812204
MW482934.1	EPI_ISL_812205
MW482935.1	EPI_ISL_812206
MW482936.1	EPI_ISL_812207
MW482937.1	EPI_ISL_812208
MW482938.1	EPI_ISL_812209
MW482939.1	EPI_ISL_812210
MW482940.1	EPI_ISL_812211
MW482941.1	EPI_ISL_812212
MW482942.1	EPI_ISL_812213
MW482943.1	EPI_ISL_812214
MW482944.1	EPI_ISL_812215
MW482945.1	EPI_ISL_812216
MW482946.1	EPI_ISL_812217
MW482947.1	EPI_ISL_812218
MW482948.1	EPI_ISL_812219
MW482949.1	EPI_ISL_812132
MW482950.1	EPI_ISL_812220
MW482951.1	EPI_ISL_812221
MW482952.1	EPI_ISL_812222
MW482953.1	EPI_ISL_812223
MW482954.1	EPI_ISL_812139
MW482955.1	EPI_ISL_812224
MW482956.1	EPI_ISL_812225
MW482957.1	EPI_ISL_812226
MW482958.1	EPI_ISL_812227
MW482959.1	EPI_ISL_812228
MW482960.1	EPI_ISL_812229
MW482961.1	EPI_ISL_812230
MW482962.1	EPI_ISL_812231
MW483098.1	EPI_ISL_804019
MW483099.1	EPI_ISL_804020
MW483100.1	EPI_ISL_804021
MW483101.1	EPI_ISL_804022
MW483102.1	EPI_ISL_804023
MW483103.1	EPI_ISL_804024
MW483104.1	EPI_ISL_804025
MW483105.1	EPI_ISL_804026
MW483106.1	EPI_ISL_804027
MW483107.1	EPI_ISL_804028
MW483108.1	EPI_ISL_804463
MW483109.1	EPI_ISL_804029
MW483110.1	EPI_ISL_804030
MW483111.1	EPI_ISL_804031
MW483112.1	EPI_ISL_804032
MW483113.1	EPI_ISL_804033
MW483114.1	EPI_ISL_804464
MW483115.1	EPI_ISL_804034
MW483116.1	EPI_ISL_804035
MW483117.1	EPI_ISL_804465
MW483118.1	EPI_ISL_804036
MW483140.1	EPI_ISL_672114
MW483141.1	EPI_ISL_672115
MW483142.1	EPI_ISL_672116
MW483143.1	EPI_ISL_672117
MW483144.1	EPI_ISL_672118
MW483145.1	EPI_ISL_672094
MW483146.1	EPI_ISL_672119
MW483147.1	EPI_ISL_672120
MW483148.1	EPI_ISL_672121
MW483149.1	EPI_ISL_672122
MW483150.1	EPI_ISL_672123
MW483151.1	EPI_ISL_672124
MW483152.1	EPI_ISL_672125
MW483153.1	EPI_ISL_672126
MW483154.1	EPI_ISL_672127
MW483155.1	EPI_ISL_672128
MW483156.1	EPI_ISL_672129
MW483157.1	EPI_ISL_672074
MW483158.1	EPI_ISL_672130
MW483159.1	EPI_ISL_672131
MW483160.1	EPI_ISL_672132
MW483161.1	EPI_ISL_672133
MW483162.1	EPI_ISL_672134
MW483163.1	EPI_ISL_672135
MW483164.1	EPI_ISL_672136
MW483165.1	EPI_ISL_672137
MW483166.1	EPI_ISL_672138
MW483167.1	EPI_ISL_672139
MW483168.1	EPI_ISL_672027
MW483169.1	EPI_ISL_672049
MW483170.1	EPI_ISL_672140
MW483171.1	EPI_ISL_672141
MW483172.1	EPI_ISL_672142
MW483173.1	EPI_ISL_672143
MW483175.1	EPI_ISL_672145
MW483176.1	EPI_ISL_672030
MW483177.1	EPI_ISL_672146
MW483178.1	EPI_ISL_672147
MW483179.1	EPI_ISL_672148
MW483180.1	EPI_ISL_672149
MW483181.1	EPI_ISL_672150
MW483182.1	EPI_ISL_672151
MW483183.1	EPI_ISL_672152
MW483184.1	EPI_ISL_672071
MW483185.1	EPI_ISL_672153
MW483186.1	EPI_ISL_672154
MW483187.1	EPI_ISL_672155
MW483188.1	EPI_ISL_672156
MW483189.1	EPI_ISL_672157
MW483190.1	EPI_ISL_672158
MW483191.1	EPI_ISL_672159
MW483192.1	EPI_ISL_672160
MW483193.1	EPI_ISL_672047
MW483194.1	EPI_ISL_672161
MW483195.1	EPI_ISL_672042
MW483196.1	EPI_ISL_672162
MW483197.1	EPI_ISL_672163
MW483198.1	EPI_ISL_672165
MW483199.1	EPI_ISL_672166
MW483200.1	EPI_ISL_672167
MW483201.1	EPI_ISL_672168
MW483202.1	EPI_ISL_672169
MW483203.1	EPI_ISL_672170
MW483204.1	EPI_ISL_672171
MW483205.1	EPI_ISL_672172
MW483206.1	EPI_ISL_672173
MW483208.1	EPI_ISL_672175
MW483209.1	EPI_ISL_672058
MW483210.1	EPI_ISL_672176
MW483211.1	EPI_ISL_672051
MW483212.1	EPI_ISL_672177
MW483213.1	EPI_ISL_672178
MW483214.1	EPI_ISL_672179
MW483215.1	EPI_ISL_672180
MW483216.1	EPI_ISL_672181
MW483217.1	EPI_ISL_672182
MW483218.1	EPI_ISL_672183
MW483219.1	EPI_ISL_672184
MW483220.1	EPI_ISL_672056
MW483221.1	EPI_ISL_672055
MW483222.1	EPI_ISL_672185
MW483223.1	EPI_ISL_672186
MW483224.1	EPI_ISL_672187
MW483225.1	EPI_ISL_672188
MW483226.1	EPI_ISL_672083
MW483227.1	EPI_ISL_672189
MW483228.1	EPI_ISL_672190
MW483229.1	EPI_ISL_672191
MW483230.1	EPI_ISL_672192
MW483231.1	EPI_ISL_672193
MW483232.1	EPI_ISL_672194
MW483233.1	EPI_ISL_672195
MW483234.1	EPI_ISL_672196
MW483235.1	EPI_ISL_672197
MW483236.1	EPI_ISL_672198
MW483237.1	EPI_ISL_672199
MW483238.1	EPI_ISL_672200
MW483239.1	EPI_ISL_672201
MW483240.1	EPI_ISL_672202
MW483241.1	EPI_ISL_672061
MW483242.1	EPI_ISL_672203
MW483243.1	EPI_ISL_672204
MW483244.1	EPI_ISL_672205
MW483245.1	EPI_ISL_672206
MW483246.1	EPI_ISL_672207
MW483247.1	EPI_ISL_672208
MW483248.1	EPI_ISL_672209
MW483249.1	EPI_ISL_672210
MW483250.1	EPI_ISL_672211
MW483251.1	EPI_ISL_672212
MW483252.1	EPI_ISL_672213
MW483253.1	EPI_ISL_672090
MW483254.1	EPI_ISL_672214
MW483255.1	EPI_ISL_672215
MW483257.1	EPI_ISL_672079
MW483259.1	EPI_ISL_672217
MW483260.1	EPI_ISL_672218
MW483261.1	EPI_ISL_672219
MW483262.1	EPI_ISL_672220
MW483263.1	EPI_ISL_672221
MW483264.1	EPI_ISL_672112
MW483265.1	EPI_ISL_672222
MW483266.1	EPI_ISL_672223
MW483267.1	EPI_ISL_672224
MW483268.1	EPI_ISL_672226
MW483269.1	EPI_ISL_672227
MW483270.1	EPI_ISL_672228
MW483271.1	EPI_ISL_672229
MW483272.1	EPI_ISL_672230
MW483273.1	EPI_ISL_672231
MW483275.1	EPI_ISL_672233
MW483276.1	EPI_ISL_672234
MW483277.1	EPI_ISL_672235
MW483278.1	EPI_ISL_672236
MW483279.1	EPI_ISL_672237
MW483280.1	EPI_ISL_672238
MW483281.1	EPI_ISL_672239
MW483282.1	EPI_ISL_672240
MW483283.1	EPI_ISL_672241
MW483284.1	EPI_ISL_672242
MW483285.1	EPI_ISL_672243
MW483286.1	EPI_ISL_672244
MW483287.1	EPI_ISL_672245
MW483288.1	EPI_ISL_672246
MW483289.1	EPI_ISL_672247
MW483290.1	EPI_ISL_672248
MW483291.1	EPI_ISL_672249
MW483293.1	EPI_ISL_672251
MW483294.1	EPI_ISL_672252
MW483295.1	EPI_ISL_672253
MW483296.1	EPI_ISL_672254
MW483297.1	EPI_ISL_672255
MW483298.1	EPI_ISL_672256
MW483299.1	EPI_ISL_672257
MW483300.1	EPI_ISL_672258
MW483301.1	EPI_ISL_672259
MW483302.1	EPI_ISL_672260
MW483303.1	EPI_ISL_672261
MW483304.1	EPI_ISL_672262
MW483305.1	EPI_ISL_672263
MW483306.1	EPI_ISL_672264
MW483307.1	EPI_ISL_672265
MW483308.1	EPI_ISL_672017
MW483309.1	EPI_ISL_672266
MW483310.1	EPI_ISL_672267
MW483311.1	EPI_ISL_672268
MW483312.1	EPI_ISL_672269
MW483313.1	EPI_ISL_672270
MW483314.1	EPI_ISL_672271
MW483315.1	EPI_ISL_672063
MW483316.1	EPI_ISL_672272
MW483317.1	EPI_ISL_672273
MW483318.1	EPI_ISL_672274
MW483320.1	EPI_ISL_672276
MW483321.1	EPI_ISL_672277
MW483322.1	EPI_ISL_672278
MW483323.1	EPI_ISL_672279
MW483325.1	EPI_ISL_672280
MW483326.1	EPI_ISL_672281
MW483327.1	EPI_ISL_672282
MW483328.1	EPI_ISL_672283
MW483329.1	EPI_ISL_672284
MW483330.1	EPI_ISL_672080
MW483331.1	EPI_ISL_672285
MW483332.1	EPI_ISL_672286
MW483333.1	EPI_ISL_672070
MW483334.1	EPI_ISL_672287
MW483335.1	EPI_ISL_672288
MW483336.1	EPI_ISL_672031
MW483337.1	EPI_ISL_672289
MW483338.1	EPI_ISL_672290
MW483339.1	EPI_ISL_672043
MW483340.1	EPI_ISL_672291
MW483341.1	EPI_ISL_672013
MW483342.1	EPI_ISL_672292
MW483343.1	EPI_ISL_672293
MW483344.1	EPI_ISL_672294
MW483345.1	EPI_ISL_672057
MW483346.1	EPI_ISL_672295
MW483347.1	EPI_ISL_672035
MW483348.1	EPI_ISL_672069
MW483349.1	EPI_ISL_672296
MW483350.1	EPI_ISL_672297
MW483351.1	EPI_ISL_672298
MW483352.1	EPI_ISL_672065
MW483353.1	EPI_ISL_672299
MW483354.1	EPI_ISL_672300
MW483355.1	EPI_ISL_672301
MW483356.1	EPI_ISL_672302
MW483357.1	EPI_ISL_672303
MW483358.1	EPI_ISL_672304
MW483359.1	EPI_ISL_672305
MW483360.1	EPI_ISL_672306
MW483361.1	EPI_ISL_672307
MW483362.1	EPI_ISL_672095
MW483363.1	EPI_ISL_672308
MW483364.1	EPI_ISL_672309
MW483365.1	EPI_ISL_672310
MW483366.1	EPI_ISL_672311
MW483367.1	EPI_ISL_672312
MW483368.1	EPI_ISL_672313
MW483369.1	EPI_ISL_672314
MW483371.1	EPI_ISL_672316
MW483372.1	EPI_ISL_672317
MW483373.1	EPI_ISL_672318
MW483374.1	EPI_ISL_672319
MW483375.1	EPI_ISL_672320
MW483376.1	EPI_ISL_672321
MW483377.1	EPI_ISL_672322
MW483378.1	EPI_ISL_672323
MW483379.1	EPI_ISL_672324
MW483380.1	EPI_ISL_672325
MW483381.1	EPI_ISL_672326
MW483382.1	EPI_ISL_672327
MW483383.1	EPI_ISL_672328
MW483384.1	EPI_ISL_672329
MW483385.1	EPI_ISL_672330
MW483386.1	EPI_ISL_672331
MW483387.1	EPI_ISL_672332
MW483388.1	EPI_ISL_672333
MW483389.1	EPI_ISL_672334
MW483390.1	EPI_ISL_672335
MW483391.1	EPI_ISL_672336
MW483392.1	EPI_ISL_672337
MW483393.1	EPI_ISL_672338
MW483394.1	EPI_ISL_672339
MW483395.1	EPI_ISL_672340
MW483396.1	EPI_ISL_672341
MW483397.1	EPI_ISL_672014
MW483398.1	EPI_ISL_672032
MW483399.1	EPI_ISL_672342
MW483400.1	EPI_ISL_672053
MW483401.1	EPI_ISL_672343
MW483402.1	EPI_ISL_672040
MW483403.1	EPI_ISL_672344
MW483404.1	EPI_ISL_672345
MW483405.1	EPI_ISL_672066
MW483406.1	EPI_ISL_672346
MW483407.1	EPI_ISL_672347
MW483408.1	EPI_ISL_672348
MW483410.1	EPI_ISL_672350
MW483411.1	EPI_ISL_672351
MW483412.1	EPI_ISL_672352
MW483413.1	EPI_ISL_672353
MW483414.1	EPI_ISL_672354
MW483415.1	EPI_ISL_672355
MW483416.1	EPI_ISL_672356
MW483417.1	EPI_ISL_672357
MW483418.1	EPI_ISL_672068
MW483419.1	EPI_ISL_672358
MW483420.1	EPI_ISL_672359
MW483422.1	EPI_ISL_672360
MW483423.1	EPI_ISL_672361
MW483424.1	EPI_ISL_672084
MW483425.1	EPI_ISL_672362
MW483426.1	EPI_ISL_672363
MW483427.1	EPI_ISL_672364
MW483428.1	EPI_ISL_672075
MW483429.1	EPI_ISL_672365
MW483430.1	EPI_ISL_672366
MW483431.1	EPI_ISL_672367
MW483432.1	EPI_ISL_672368
MW483433.1	EPI_ISL_672369
MW483434.1	EPI_ISL_672370
MW483435.1	EPI_ISL_672371
MW483436.1	EPI_ISL_672372
MW483437.1	EPI_ISL_672373
MW483438.1	EPI_ISL_672374
MW483439.1	EPI_ISL_672375
MW483440.1	EPI_ISL_672376
MW483441.1	EPI_ISL_672077
MW483442.1	EPI_ISL_672377
MW483443.1	EPI_ISL_672378
MW483444.1	EPI_ISL_672379
MW483445.1	EPI_ISL_672380
MW483446.1	EPI_ISL_672381
MW483447.1	EPI_ISL_672382
MW483448.1	EPI_ISL_672383
MW483449.1	EPI_ISL_672384
MW483450.1	EPI_ISL_672385
MW483451.1	EPI_ISL_672386
MW483452.1	EPI_ISL_672387
MW483453.1	EPI_ISL_672388
MW483454.1	EPI_ISL_672389
MW483455.1	EPI_ISL_672390
MW483456.1	EPI_ISL_672391
MW483457.1	EPI_ISL_672392
MW483458.1	EPI_ISL_672015
MW483459.1	EPI_ISL_672393
MW483460.1	EPI_ISL_672394
MW483461.1	EPI_ISL_672395
MW483462.1	EPI_ISL_672396
MW483463.1	EPI_ISL_672397
MW483464.1	EPI_ISL_672398
MW483465.1	EPI_ISL_672399
MW483466.1	EPI_ISL_672400
MW483467.1	EPI_ISL_672403
MW483468.1	EPI_ISL_672404
MW483469.1	EPI_ISL_672405
MW483470.1	EPI_ISL_672406
MW483471.1	EPI_ISL_672407
MW483472.1	EPI_ISL_672408
MW483473.1	EPI_ISL_672410
MW483474.1	EPI_ISL_672411
MW483475.1	EPI_ISL_672022
MW483476.1	EPI_ISL_672412
MW483477.1	EPI_ISL_672413
MW483478.1	EPI_ISL_672414
MW483479.1	EPI_ISL_672415
MW483480.1	EPI_ISL_672416
MW483481.1	EPI_ISL_672417
MW483482.1	EPI_ISL_672418
MW483483.1	EPI_ISL_672419
MW483484.1	EPI_ISL_672059
MW483485.1	EPI_ISL_672420
MW483486.1	EPI_ISL_672019
MW483487.1	EPI_ISL_672421
MW483488.1	EPI_ISL_672422
MW483489.1	EPI_ISL_672423
MW483490.1	EPI_ISL_672424
MW483491.1	EPI_ISL_672425
MW483492.1	EPI_ISL_672426
MW483493.1	EPI_ISL_672427
MW483494.1	EPI_ISL_672428
MW483495.1	EPI_ISL_672052
MW483496.1	EPI_ISL_672073
MW483497.1	EPI_ISL_672429
MW483498.1	EPI_ISL_672430
MW483499.1	EPI_ISL_672431
MW483500.1	EPI_ISL_672432
MW483501.1	EPI_ISL_672433
MW483502.1	EPI_ISL_672106
MW483503.1	EPI_ISL_672104
MW483504.1	EPI_ISL_672107
MW483505.1	EPI_ISL_672108
MW483506.1	EPI_ISL_672072
MW483507.1	EPI_ISL_672434
MW483508.1	EPI_ISL_672435
MW483509.1	EPI_ISL_672436
MW483510.1	EPI_ISL_672437
MW483511.1	EPI_ISL_672438
MW483512.1	EPI_ISL_672064
MW483513.1	EPI_ISL_672439
MW483514.1	EPI_ISL_672440
MW483515.1	EPI_ISL_672441
MW483516.1	EPI_ISL_672060
MW483517.1	EPI_ISL_672442
MW483518.1	EPI_ISL_672443
MW483519.1	EPI_ISL_672444
MW483520.1	EPI_ISL_672445
MW483521.1	EPI_ISL_672050
MW483522.1	EPI_ISL_672446
MW483523.1	EPI_ISL_672447
MW483524.1	EPI_ISL_672054
MW483525.1	EPI_ISL_672039
MW483526.1	EPI_ISL_672448
MW483527.1	EPI_ISL_672449
MW483528.1	EPI_ISL_672097
MW483529.1	EPI_ISL_672023
MW483530.1	EPI_ISL_672450
MW483531.1	EPI_ISL_672451
MW483532.1	EPI_ISL_672452
MW483533.1	EPI_ISL_672078
MW483534.1	EPI_ISL_672453
MW483535.1	EPI_ISL_672034
MW483536.1	EPI_ISL_672092
MW483537.1	EPI_ISL_672038
MW483538.1	EPI_ISL_672082
MW483539.1	EPI_ISL_672076
MW483540.1	EPI_ISL_672454
MW483542.1	EPI_ISL_672455
MW483543.1	EPI_ISL_672456
MW483544.1	EPI_ISL_672457
MW483545.1	EPI_ISL_672458
MW483546.1	EPI_ISL_672459
MW483547.1	EPI_ISL_672460
MW483548.1	EPI_ISL_672461
MW483549.1	EPI_ISL_672091
MW483550.1	EPI_ISL_672462
MW483551.1	EPI_ISL_672113
MW483552.1	EPI_ISL_672463
MW483553.1	EPI_ISL_672464
MW483554.1	EPI_ISL_672465
MW483555.1	EPI_ISL_672466
MW483556.1	EPI_ISL_672467
MW483557.1	EPI_ISL_672045
MW483558.1	EPI_ISL_672468
MW483559.1	EPI_ISL_672469
MW483560.1	EPI_ISL_672470
MW483561.1	EPI_ISL_672471
